ticker,name,sector,year_filed,filing_date,sample_source,bankruptcy_filing,bankrupt,total_assets,total_liabilities,current_assets,current_liabilities,retained_earnings,revenue,net_income,ebit,interest_expense,stockholders_equity,long_term_debt,source_filing_end,source_filing_filed,source_filing_form,debt_to_equity,current_ratio,return_on_assets,interest_coverage,net_margin,market_cap,price,beta,pe_ratio,week52_high,week52_low,analyst_rating,shares_outstanding,company_size
CMCSA,Comcast,Communication Services,,,s&p500_auto_control,0,0,272631000000.0,,29567000000.0,33524000000.0,66675000000.0,121572000000.0,19998000000.0,20672000000.0,4087000000.0,96903000000.0,,2025-12-31,2026-02-03,10-K,,0.8819651592888677,0.07335189321830606,5.057988744800587,0.16449511400651465,98504204288.0,27.575,0.79,5.406863,34.358013,24.133083,hold,3562784182.0,Large
DIS,Walt Disney Company (The),Communication Services,,,s&p500_auto_control,0,0,197514000000.0,,24267000000.0,34162000000.0,60410000000.0,94425000000.0,12404000000.0,17551000000.0,-1812000000.0,109869000000.0,42026000000.0,2025-09-27,2025-11-13,10-K,,0.7103506820443768,0.06280061160221553,-9.68598233995585,0.1313635160180037,179650019328.0,101.4101,1.441,14.935214,124.69,88.56,buy,1771519851.0,Large
EA,Electronic Arts,Communication Services,,,s&p500_auto_control,0,0,12368000000.0,5982000000.0,3276000000.0,3459000000.0,6470000000.0,7463000000.0,1121000000.0,1520000000.0,58000000.0,6386000000.0,,2025-03-31,2025-05-13,10-K,0.9367366113373004,0.9470945359930616,0.09063712807244502,26.20689655172414,0.15020769127696637,50640089088.0,202.355,0.725,75.78838,204.89,141.19,hold,250253713.0,Large
FOX,Fox Corporation (Class B),Communication Services,,,s&p500_auto_control,0,0,23195000000.0,,8429000000.0,2897000000.0,4479000000.0,14913000000.0,,,349000000.0,11962000000.0,6602000000.0,2025-06-30,2025-08-06,10-K,,2.9095616154642734,,,,24128464896.0,56.72,0.505,13.601918,68.175,44.35,none,224702222.0,Large
FOXA,Fox Corporation (Class A),Communication Services,,,s&p500_auto_control,0,0,23195000000.0,,8429000000.0,2897000000.0,4479000000.0,14913000000.0,,,349000000.0,11962000000.0,6602000000.0,2025-06-30,2025-08-06,10-K,,2.9095616154642734,,,,26943991808.0,63.3386,0.505,15.189113,76.39,47.66,buy,200693856.0,Large
LYV,Live Nation Entertainment,Communication Services,,,s&p500_auto_control,0,0,22912533000.0,,10974392000.0,11028850000.0,-1041978000.0,25201406000.0,495972000.0,1251217000.0,316033000.0,271007000.0,1715688000.0,2025-12-31,2026-02-19,10-K,,0.9950622231692334,0.02164631906913129,3.959134014485829,0.019680330533939257,36742955008.0,156.21,1.147,,175.25,125.34,buy,235124811.0,Large
META,Meta Platforms,Communication Services,,,s&p500_auto_control,0,0,366021000000.0,148778000000.0,108722000000.0,41836000000.0,121179000000.0,40653000000.0,60458000000.0,83276000000.0,446000000.0,217243000000.0,58744000000.0,2025-12-31,2026-01-29,10-K,0.6848460019425252,2.5987666124868536,0.16517631502017643,186.71748878923768,1.4871719184316041,1701911330816.0,670.46,1.309,28.554516,796.25,520.26,strong_buy,2196045588.0,Large
ABNB,Airbnb,Consumer Discretionary,,,s&p500_auto_control,0,0,22208000000.0,14009000000.0,18797000000.0,13649000000.0,-5502000000.0,,2511000000.0,2544000000.0,,8199000000.0,2000000000.0,2025-12-31,2026-02-12,10-K,1.70862300280522,1.3771704886804894,0.11306736311239193,,,83105710080.0,139.785,1.16,34.686104,147.25,110.81,buy,418897799.0,Large
APTV,Aptiv,Consumer Discretionary,,,s&p500_auto_control,0,0,23413000000.0,13914000000.0,8745000000.0,5037000000.0,6227000000.0,20398000000.0,165000000.0,1184000000.0,361000000.0,9207000000.0,7653000000.0,2025-12-31,2026-02-06,10-K,1.5112414467253177,1.7361524717093508,0.007047366847477897,3.2797783933518008,0.008089028336111383,14900497408.0,59.33,1.511,79.10667,88.93,55.01,buy,213141325.0,Large
AZO,AutoZone,Consumer Discretionary,,,s&p500_auto_control,0,0,19355324000.0,,8341379000.0,9519397000.0,-3975852000.0,18938717000.0,2498247000.0,3610156000.0,320121000.0,-3414313000.0,4343800000.0,2025-08-30,2025-10-27,10-K,,0.8762507751278784,0.1290728587131892,11.277473205444192,0.13191215645706095,58573709312.0,3535.39,0.406,24.748966,4388.11,3210.72,buy,16476820.0,Large
